0, "unused"
1, "nodraw"
2, "ankh"
3, "ankh"
4, "ankh"
5, "ankh"
6, "wooden wall"
7, "wooden wall"
8, "wooden wall"
9, "wooden post"
10, "wooden wall"
11, "wooden wall"
12, "wooden wall"
13, "wooden wall"
14, "window"
15, "window"
16, "wooden wall"
17, "wooden wall"
18, "wooden wall"
19, "wooden post"
20, "wooden wall"
21, "wooden wall"
22, "wooden wall"
23, "wooden post"
24, "wooden wall"
25, "wooden wall"
26, "stone wall"
27, "stone wall"
28, "stone wall"
29, "stone wall"
30, "stone wall"
31, "stone wall"
32, "stone wall"
33, "stone wall"
34, "window"
35, "window"
36, "stone wall"
37, "stone wall"
38, "stone wall"
39, "stone wall"
40, "stone arch"
41, "stone arch"
42, "stone arch"
43, "stone arch"
44, "stone arch"
45, "stone wall"
46, "stone wall"
47, "stone wall"
48, "stone wall"
49, "stone wall"
50, "stone wall"
51, "brick wall"
52, "brick wall"
53, "brick wall"
54, "brick wall"
55, "brick wall"
56, "brick wall"
57, "brick wall"
58, "brick wall"
59, "window"
60, "window"
61, "brick wall"
62, "brick wall"
63, "brick wall"
64, "brick wall"
65, "brick wall"
66, "brick wall"
67, "brick wall"
68, "brick wall"
69, "brick arch"
70, "brick arch"
71, "brick arch"
72, "brick arch"
73, "brick arch"
74, "brick wall"
75, "brick wall"
76, "brick wall"
77, "brick wall"
78, "brick wall"
79, "brick wall"
80, "brick wall"
81, "brick wall"
82, "brick wall"
83, "brick wall"
84, "brick wall"
85, "brick wall"
86, "brick wall"
87, "stone wall"
88, "stone wall"
89, "stone wall"
90, "stone wall"
91, "arrow loop"
92, "arrow loop"
93, "window"
94, "window"
95, "stone wall"
96, "stone wall"
97, "stone wall"
98, "stone wall"
99, "stone wall"
100, "stone wall"
101, "stone wall"
102, "stone wall"
103, "stone wall"
104, "stone wall"
105, "stone wall"
106, "stone wall"
107, "stone wall"
108, "stone wall"
109, "stone arch"
110, "stone arch"
111, "stone arch"
112, "stone arch"
113, "stone arch"
114, "battlement"
115, "battlement"
116, "battlement"
117, "battlement"
118, "battlement"
119, "stone column"
120, "stone wall"
121, "stone wall"
122, "stone arch"
123, "stone arch"
124, "stone arch"
125, "stone arch"
126, "stone arch"
127, "stone arch"
128, "stone wall"
129, "stone wall"
130, "stone wall"
131, "window"
132, "stone wall"
133, "window"
134, "stone arch"
135, "stone arch"
136, "stone wall"
137, "stone wall"
138, "stone arch"
139, "stone arch"
140, "stone wall"
141, "window"
142, "stone wall"
143, "window"
144, "log wall"
145, "log wall"
146, "log wall"
147, "log post"
148, "log wall"
149, "log wall"
150, "log wall"
151, "log wall"
152, "window"
153, "window"
154, "log wall"
155, "log wall"
156, "log wall"
157, "log post"
158, "log wall"
159, "log wall"
160, "log wall"
161, "log wall"
162, "log wall"
163, "log wall"
164, "log wall"
165, "log wall"
166, "wooden wall"
167, "wooden wall"
168, "wooden wall"
169, "wooden post"
170, "wooden wall"
171, "wooden wall"
172, "wooden wall"
173, "wooden wall"
174, "wooden wall"
175, "wooden wall"
176, "wooden wall"
177, "wooden post"
178, "wooden wall"
179, "wooden wall"
180, "wooden wall"
181, "wooden wall"
182, "wooden wall"
183, "wooden wall"
184, "wooden wall"
185, "window"
186, "window"
187, "window"
188, "window"
189, "wooden wall"
190, "wooden wall"
191, "wooden wall"
192, "wooden post"
193, "wooden wall"
194, "wooden wall"
197, "stone wall"
198, "stone arch"
199, "stone wall"
200, "stone wall"
201, "stone wall"
202, "arrow loop"
203, "arrow loop"
204, "stone post"
205, "stone arch"
206, "stone arch"
207, "stone arch"
208, "stone arch"
209, "stone arch"
210, "stone buttress"
211, "stone buttress"
212, "stone arch"
213, "stone arch"
214, "stone arch"
215, "stone arch"
216, "stone arch"
217, "stone arch"
218, "stone arch"
219, "stone pillar"
220, "stone wall"
221, "stone wall"
222, "stone wall"
223, "stone post"
224, "stone arch"
225, "stone arch"
226, "stone arch"
227, "stone arch"
228, "stone arch"
229, "stone arch"
230, "stone wall"
231, "stone wall"
232, "stone wall"
233, "secret door"
234, "stone wall"
235, "secret door"
236, "stone wall"
237, "secret door"
238, "stone wall"
239, "secret door"
240, "stone wall"
241, "secret door"
242, "stone wall"
243, "secret door"
244, "stone wall"
245, "secret door"
246, "stone wall"
247, "secret door"
248, "marble wall"
249, "marble wall"
250, "marble wall"
251, "marble wall"
252, "window"
253, "window"
254, "marble wall"
255, "marble wall"
256, "marble wall"
257, "marble wall"
258, "window"
259, "window"
260, "marble wall"
261, "marble wall"
262, "marble wall"
263, "marble wall"
264, "window"
265, "window"
266, "marble wall"
267, "marble wall"
268, "marble wall"
269, "marble wall"
270, "marble wall"
271, "marble wall"
272, "marble wall"
273, "marble wall"
274, "marble arch"
275, "marble arch"
276, "marble arch"
277, "marble arch"
278, "marble arch"
279, "marble wall"
280, "marble wall"
281, "marble wall"
282, "marble wall"
283, "marble column"
284, "marble column"
285, "marble column"
286, "marble column"
287, "marble column"
288, "marble column"
289, "marble arch"
290, "marble arch"
291, "marble arch"
292, "marble arch"
293, "marble wall"
294, "marble wall"
295, "plaster wall"
296, "plaster wall"
297, "plaster wall"
298, "wooden post"
299, "plaster wall"
300, "plaster wall"
301, "plaster wall"
302, "plaster wall"
303, "plaster wall"
304, "plaster wall"
305, "plaster wall"
306, "plaster wall"
307, "plaster wall"
308, "plaster wall"
309, "plaster wall"
310, "plaster wall"
311, "plaster wall"
312, "plaster wall"
313, "plaster wall"
314, "window"
315, "window"
316, "archway"
317, "archway"
318, "archway"
319, "archway"
320, "archway"
321, "wooden beam"
322, "wooden beam"
323, "wooden beam"
324, "wooden beam"
325, "log post"
326, "log post"
327, "log post"
328, "log post"
330, "plaster wall"
331, "plaster wall"
332, "plaster wall"
333, "plaster wall"
334, "plaster wall"
335, "plaster wall"
336, "plaster wall"
337, "plaster wall"
338, "plaster wall"
339, "plaster wall"
