# Hythloth
 2717  5996   144     0     0  ; EmptyBookcase
 7028  5963   156     0     0  ; Static
 2505  5991   105     6     0  ; Static
 4337  6112    90     0     0  ; Static
 1741  6047   204    22     0  ; MetalDoor2
 2854  6062    54     0     0  ; CandelabraStand
 7028  5916   226    44     0  ; Static
 3619  6114    81     6     0  ; Static
 1743  6047   203    22     0  ; MetalDoor2
 3789  5939    99    22     0  ; Static
 3619  5960   227    28     0  ; Static
 4337  5942   102    22     0  ; Static
 7395  5987    83     0     0  ; Static
 4337  5945   101    22     0  ; Static
 1743  6063    51     0     0  ; MetalDoor2
 4337  6108    90     0     0  ; Static
 2573  5989   184    59     0  ; Static
 2854  6061    40     0     0  ; CandelabraStand
 1743  5967   235    22     0  ; MetalDoor2
 3827  5952   145    22     0  ; Static
 2854  5994    68    26     0  ; CandelabraStand
 4115  5987    58    22     0  ; Static
 7028  5942   147    22     0  ; Static
 1743  5919    51    22     0  ; MetalDoor2
 2854  5976    29    22     0  ; CandelabraStand
 7027  5980   184    44     0  ; Static
 6163  5994    64    28     0  ; Static
 2854  6048    53     0     0  ; CandelabraStand
 4308  5961   144    22     0  ; Static
 3703  6084    93    22     0  ; Barrel
 3703  6069   100    22     0  ; Barrel
 5104  5952   153     0     0  ; Static
 1343  5926    45    44     0  ; Static
 1735  6083    47    22     0  ; MetalDoor2
 7027  5914   169    22     0  ; Static
 2854  5989    29    22     0  ; CandelabraStand
 6236  6109    80     6     0  ; Static
 4337  5997   101     0     0  ; Static
 2854  5990    56    22     0  ; CandelabraStand
 7028  5961   196    22     0  ; Static
 1743  5959    27     0     0  ; MetalDoor2
 3934  5953   157     0     0  ; Static
 4138  5952   226    28     0  ; Static
 4717  5988    98     6     0  ; Static
 1743  6079   171     0     0  ; MetalDoor2
 2854  6048    43     0     0  ; CandelabraStand
 4337  5939   107    22     0  ; Static
 6236  5993    62    28     0  ; Static
 4308  5915    48    22     0  ; Static
 4014  5989   221    44     0  ; Static
 6236  5945   220    34     0  ; Static
 4719  5987    99     6     0  ; Static
 3703  6032   202    22     0  ; Barrel
 3117  5986   160     0     0  ; Static
 7390  5989   103     6     0  ; Static
 1683  6103    67     0     0  ; BarredMetalDoor
 6212  6108    82     6     0  ; Static
 3787  5940    98    22     0  ; Static
 1342  5924    42    44     0  ; Static
 2854  6106    42    27     0  ; CandelabraStand
 3827  5960   209    22     0  ; Static
 4011  5945   216    22     0  ; DyeTub
 3191  5989   104     6     0  ; Static
 4337  5995   151     0     0  ; Static
 3703  6040   225    44     0  ; Barrel
 7032  5928   213    44     0  ; Static
 7028  5968   219    22     0  ; Static
 7027  5971   176     0     0  ; Static
 3703  6069   101    22     0  ; Barrel
 3650  6068    97    22     0  ; WoodenChest
 3703  6034   205    22     0  ; Barrel
 3703  6032   205    22     0  ; Barrel
 2854  5912   227    44     0  ; CandelabraStand
 6229  5950   219    34     0  ; Static
 7039  6059    64     0     0  ; Static
 6229  5945   222    34     0  ; Static
 4337  5938   101    22     0  ; Static
 7028  5933   201    22     0  ; Static
